class_code,title,content,class
3,澳漁民意外捕獲罕見「象鯊」，世界第二大隻的魚種！,據外媒報道，澳大利亞一艘拖網漁船上的漁民意外地在澳東南端的巴斯海峽捕獲一條6.3米長、3.5噸重的象鯊(baskingshark)，這給了科學家一個研究此類罕見鯊魚的難得機會。報道稱，漁民已把這條象鯊捐給南部城市墨爾本的維多利亞博物館。科學家將會分析其組織樣本、胃容物、脊椎等，研究它們的基因特徵、飲食習慣和生命史。據悉，象鯊為體型僅小於鯨鯊的世界第二大魚類，最大可長至約12米。由於象鯊不需要浮出水面呼吸空氣，因此，人類很少發現它們的蹤跡，對它們所知甚少。 象鯊詳細介紹：象鯊（學名：Cetorhinusmaximus）是象鯊科及象鯊屬中唯一的一個物種。它是繼鯨鯊以下世界上第二大的魚類。象鯊分布在全世界的溫帶海洋。它們遊動緩慢，一般都沒有危害及依靠浮游生物為餌料的。它們經常遷移，會季節性的出現在某些地區。[1]就像其他的大型鯊魚，象鯊正面臨滅絕的危險，原因是其低繁殖及過份捕撈，以供應世界各地對魚翅、魚肉及器官的需求。 象鯊是已知最大的鯊魚之一，僅次於鯨鯊。長度6.7-8.8米，重量6000 公斤左右。最大的象鯊標本是於1851年被纏在加拿大芬迪灣的鯡魚網中，它的總長度達12.27米，重19噸。 象鯊有一個像巨穴般的顎（達1米闊，在攝食時會保持張開）、較長及明顯的鰓裂（差不多環繞整個頭部，且有更完善的鰓耙）、眼睛較細及平均腰圍較幼。象鯊的牙齒少很多及呈鉤狀，約只有5-6毫米。象鯊只有上顎的首3-4列及下顎的6-7列牙齒是有功用的。 象鯊的尾柄有很多龍骨，皮膚布滿盾鱗及一層黏液，鼻端很尖及尾鰭呈半月形。體型較大的象鯊可以拍動背鰭。象鯊身體呈很多不同的顏色，一般背部都是深褐色至深藍或黑色，腹部則呈暗白色。很多時在它們身上都會發現有傷痕，可能是受八目鰻或雪茄鮫的襲擊。象鯊的肝臟，占體重的25%及差不多整個腹腔的長度，相信在它們控制浮沉及長期儲存能量中有重要的作用。雌性的象鯊只有右邊的卵巢是仍有效用的，這是在鯊魚中特有的特徵。[1] 象鯊的身體呈紡錘型，軀幹較粗壯。尾柄兩側各具一突起，尾基上、下各具一凹窪。頭大，略側扁，錐形。吻短而圓突。眼略小，圓形，無瞬膜。鼻孔狹小，位於口前，前鼻瓣短，呈圓形；無口鼻溝或觸鬚。口裂寬大，廣弧形，具唇褶；下頜短，口閉時不露齒。頜齒細小而多，圓錐狀，邊緣光滑，齒頭向後，無側齒頭，4~7行在使用，每側每行100餘個。噴水孔細小，圓形。鰓孔5個，很寬，由背上側延伸至腹面，位於眼後。鰓耙細長、密列，角質，基部側扁，端部鬃狀，為取食的過濾器官。背鰭2個，第一背鰭大而略呈等邊三角形，起點於胸鰭及腹鰭間，後緣凹入，上角略尖圓，下角微尖突；第二背鰭頗小，起點在腹鰭後端之後，後緣凹入，上角尖圓，下角微尖突；胸鰭寬大型，鐮刀狀，後緣微凹入，外角鈍圓，內角鈍圓；尾鰭叉形，尾椎軸稍上揚，上尾叉較長大，近尾端處有一缺刻，下尾叉較短小。體背側灰褐色；腹側白色。 象鯊是外海大洋性上層魚類。有明顯的晝夜垂直移動現象，在拂曉和黃昏時上升到表層，其他時間棲息在100米以下的深水層，最深可達700-1000米。性遲鈍，船隻靠近它時也不逃逸。喜結成小群，每群60-100餘尾，排列整齊，列成二或三個縱隊。天氣晴朗時常浮於水錶層，背部緊貼水面，將吻端、背鰭和尾鰭上葉露出水面，或緩慢遊動，張口濾食，或翻身側臥，露腹曬日；有時當表體吸附有印魚時，則經常躍出水面，企圖抖落吸附的印魚。 研究證實象鯊不會冬眠，且是全年活動的。在冬天，象鯊會潛入更深的地方（水深約900米），濾食深海浮游生物。衛星追蹤器確認象鯊在冬天會游超過幾千公里來尋找浮游生物。象鯊亦會不斷捨棄及更新它們的鰓耙，而非只在一段時間內進行。象鯊會在或近水面張開口及豎起鰓耙來攝食。它們遊動得很緩慢，攝食時就只有2節，也不會像大白鯊般躲避船隻。它們對人類沒有害，也不會受魚餌所誘。 象鯊一般是雌雄分開成群活動，一群只有3至4條，但也有報導見到多達成100隻的群體。 它們群體活動相信是根據視覺的，縱然它們的眼睛很小但卻是發展完好的，已知它們是透過視覺來觀察可能是誤認為同種的船隻。雌性是在淺水區域分娩的。 只有很少捕獵象鯊的獵食者，已知的有殺人鯨及虎鯊會獵食象鯊。八目鰻亦經常被象鯊所吸引，縱然它們未必能割開象鯊的厚皮。 雖然象鯊很大及緩慢，但它們仍然可以躍出水面。它們這種動作可能是為了驅逐寄生動物或共生物。不過對象鯊躍動仍有質疑，因為它們最高的速度每小時就只有4里，且在受到魚叉的攻擊亦未有這樣的行為。 象鯊是卵胎生的，生長中胚胎會依賴卵黃，而由於沒有胎盤連接，它們後來會吃未受精的卵子。妊娠期相信超過1年，有可能是2至3年，每胎的數目不明但很少，出生的幼鯊只有1.5至2米長。過往只有一隻懷孕的象鯊被捉，它就懷有6隻未出生的幼鯊。象鯊一般在初夏交配，雌性象鯊會游往淺水區在夏末分娩。象鯊約在6至13歲及身長4.6至6米時會達至性成熟。繁殖期約2至4年。象鯊那些幾乎沒有作用的牙齒在交配時可以穩定雄性的身體。 史上最凶的十種淡水魚！你看過了嗎？連鯊魚看到他們都怕！嚇死人！第十名 鱷雀鱔 第九名 王鮭（大鱗大馬哈魚）第八名 巨骨舌魚 第七名 六須鯰 第五名 紐幾內亞鱸魚 第四名 尼羅河鱸魚 第二名：白鱘 第一名：亞馬遜鯰魚,排行列舉
3,票選16位「零整型」女明星排行榜，第3名王祖賢..第2名林心如~第1名竟是?!,現在娛樂圈沒有整容的女星越來越少，盤點0整形的美女明星，你心目中真正的女神是誰呢？第16名 鍾欣潼1981年1月21日出生於香港特別行政區，中國香港女歌手、演員，華語女子演唱組合「Twins」成員之一。阿嬌是香港娛樂圈中公認的美女，在以歌手身份在香港大紅大紫後，阿嬌唱而優則演，相繼主演了《精武家庭》《千機變》《雙子神偷》等作品。演技仍需磨練的阿嬌在動作戲上表現出天賦，被眾多圈內人讚賞，因此被譽為新一代打女，如果沒有」艷照門「，誰知道阿嬌會不會是下一個楊紫瓊。第15名  朱茵1971年10月25日出生於香港，中國影視女演員、歌手，畢業於香港演藝學院戲劇系。一個黃蓉一個紫霞仙子，朱茵在巔峰時期無論相貌和身材都是女神級別人物第14名 董潔沒整過容的董潔，有越來越瘦的趨勢，昔日清純的清秋，也變知性了。 第13名 孫儷1982年9月26日出生於上海市，中國大陸女演員、歌手。已身為辣媽的孫儷，不但身材沒有變樣，肌膚還白皙通透有光澤，最愛她那一抹燦爛的笑容，能讓人感受到大大的正能量。 第12名 劉亦菲1987年8月25日出生於湖北省武漢市，影視女演員、歌手，畢業於北京電影學院2002級表演系本科班。娛樂圈五官很美的人不少見而劉亦菲的美在氣質。劉亦菲那與生俱來高貴、淡然，不食人間煙火的氣質在娛樂圈並不多見，因此她在很多人心中「神仙姐姐」的地位很難取代的。 第11名 章子怡1979年2月9日出生於北京，中國電影女演員，2000年畢業於中央戲劇學院。現在的章子怡，臉部肌肉走向還是很舒服，面部輪廓沒有什麼變化，美人胚子。 第10名 劉詩詩因《步步驚心》爆紅的劉詩詩，瞬間把她的詩爺地位提升了不少，詩詩同樣勝在氣質，有著溫文爾雅的書香貴族氣息。劉詩詩這類型的美也和湯唯有個類似，那就是把她們的五官分開來看，每一個都不是最美，甚至缺點也不少，但就是拼湊起來特別和諧自然，讓人看著舒服。詩詩的美很溫婉，沒有殺氣，不像某些女明星的確很美，但是氣場咄咄逼人，欣賞著詩詩這樣宛若大家閨秀的氣質美女，真是一件很愜意的事，她的美所具有的這種能量在燈紅酒綠的娛樂圈也是很少見，顯得彌足珍貴。 第9名 陳妍希1983年5月31日出生於台灣，台灣女演員、歌手、主持人。 2006年畢業於南加利福尼亞大學。陳妍希沒有錐子臉，也沒有嘟嘟唇，但她清秀的五官，甜美的氣質，還有微笑起來嘴角那淺淺的酒窩，讓她在《那些年我們一起追過的女孩》迅速成為兩岸三地最受歡迎的人氣女星。 第8名 周迅1974年10月18日生於浙江省衢州市，中國內地女藝人。周迅臉真的是小巧精美的巴掌臉，她最出彩的就是下巴了，雖然很尖卻很自然，還稍有些向前翹。飽滿的額頭，清瘦的面頰，小巧的嘴再加上瘦小的身材，真是不禁讓人憐愛。 第7名 林青霞1954年11月3日出生在台灣省新北三重區，祖籍山東萊陽林青霞也算得上早期玉女之一了，其風采氣質非凡，無論是扮演清純佳人，還是反串俠客英雄，眉宇間透露出的絕色佳人的氣息都能打動觀眾。她的下巴是中間有條溝的，都說是美人溝，要是放到現在，估計女明星會去打個玻尿酸把它搞尖了吧，其實何必呢，美女本來就有很多種。青霞姐姐留給觀眾印象最深的要算女扮男裝的東方不敗了，那英姿颯爽，比女人更英氣逼人，比男人更柔情幹練。在那個木有PS的年代，林青霞可是貨真價實的絕代美人，曾被譽為東南亞第一美女啊。不過林青霞結婚後漸漸淡出娛樂圈，過上了相夫教子的生活，作為港台電影界唯一能橫跨文藝、武俠兩種不同電影風格且走紅時間最長的女明星，2011年7月，林青霞以「作家」身份「復出」，推出散文處女作《窗里窗外》 第6名 趙薇1976年3月12日生於安徽蕪湖，中國大陸影視女演員、歌手、導演，北京電影學院導演系碩士，在影、視、歌、導四棲領域都有成就的明星。 1998年憑藉電視劇《還珠格格》成名，並榮獲第17屆中國電視金鷹獎最佳女主角獎。次年《還珠格格Ⅱ》以65%的收視率創造了中國電視劇收視記錄， 第5名 徐若瑄台灣女歌手、演員。幼年家境清貧，15歲時參加華視《TV星秀爭霸站》舉辦的「才藝美少女選拔」獲得冠軍後開始演藝生涯。外界對徐若瑄的評價一直是「天使面孔、魔鬼身材」，她甜美迷人的笑和優美的臉部曲線讓眾多男明星著迷，幾乎圈內的著名帥氣男星都和徐若瑄或多或少有過緋聞。在保養方面，徐若瑄也非常有一套，今年40還擁有18歲少女的皮膚和身材，在娛樂圈有「不老神話」的美名。 第4名 湯唯1979年10月7日出生於浙江省杭州市，中國影視女演員。 2000年考入中央戲劇學院導演系本科。湯唯有著一雙靈巧的眼睛，說話時微鼓的臉頰，還有那誘人的薄唇。同時擁有好肌膚的湯唯也常以素顏示人，自然不做作，氣質超群 第3名 王祖賢1967年1月31日生於台灣台北。 1984年，首次主演電影《今年的湖畔會很冷》，其後簽約邵氏電影公司到香港發展。 1987年出演電影《倩女幽魂》中聶小倩，並獲得當年香港電影金像獎最佳女主角提名；1992年憑《倩女幽魂Ⅲ：道道道》獲得第25屆西班牙錫切斯奇幻電影節最佳女主角。 已經48歲的王祖賢，容貌肯定會比年輕時候差點，但是她曾經是許多7 80 和一些90後的女神，我們的青春都老了 第2名 林心如1976年1月27日出生於台灣台北，台灣女演員、影視製作人。 1993年以兼職廣告模特開始了演藝生涯；1994年因與郭富城合拍廣告踏入演藝圈；1998年主演電視劇《還珠格格》「夏紫薇」一角走紅，之後主演的電視劇《男才女貌》的收視率在中央電視台排名第二，僅次於《新聞聯播》，最喜歡她的美人心計。 第一名 關之琳1962年9月24日出生於香港，滿族鑲藍旗瓜爾佳氏，中國香港女演員、歌手。關之琳不是混血，但她的父親是滿族人，據說滿人中的關姓來自於「瓜爾佳」氏。關之琳被稱為「香港第一美女」，很小的時候就被許多人稱為「小美人」，有人還戲稱她是「搪瓷娃娃」。在讀中學時，就是有名的「校花」。在1998年，她被美國著名雜誌《PEOPLE》(人物)評為全球50位最美麗的名人之一。同年，在一項香港美女票選活動中，被選為「香港經典美女」。作為大美女，身材也是相當重要滴，像這種凹凸有致的就是極品了。,排行列舉
3,原來凡士林不只可以用來滋潤肌膚，用了這麼久...居然今天才知道它的15種神奇妙用！,冬天的來臨，容易讓我們的肌膚失去水分，呈現乾燥、脫皮的現象，居家常見的凡士林是我們乾燥肌膚的救星，除了用來滋潤肌膚之外，還有很多我們意想不到的妙用喔！這樣一罐平凡的東西究竟有什麼用處，下面15項功用一定要記住！1.在準備噴上香水的部位塗點凡士林，這樣可以讓香氣更持久！2.在乾燥的髮尾抹上一些凡士林，一頭柔順的頭髮即可擁有！3.擦指甲油前先在指甲周圍塗上凡上林，塗指甲油時即便塗出去也能很好清理。4.把海鹽和凡士林加在一起就是一款天然的去角質產品。5.感冒流鼻水很容易把鼻子擦破皮，在鼻子周圍抹上一些凡士林就能避免肌膚摩擦發紅。6.腳皮太厚會變硬、容易龜裂，睡前用凡士林塗抹腳部然後穿上襪子，隔天起床就會發現腳皮變軟，龜裂的情況獲得改善！7.用凡士林按摩還沒卸妝的肌膚，可以幫助臉上的妝容在最溫和的狀態下卸除！8.頑固的眼妝用凡士林也能輕鬆卸掉！9.久未帶的耳環不容易穿過耳洞，在耳環尖端塗上凡士林，就能減輕戴耳環的不適感，還能避免敏感的耳朵紅腫發炎。10.拉鍊卡住時用棉花棒在拉鍊上塗抹凡士林，拉鍊就會變得很好拉了。11.皮製的包包或鞋子有擦傷用凡士林擦拭能夠輕鬆修復，還可以讓皮製產品看起來煥然一新。12.塗口紅時，抹一點凡士林在牙齒上，可以防止口紅不小心黏在牙齒上面。13.在擦防曬前先塗上凡士林，可以幫助防曬擦得更均勻。14.手邊剛好沒有可以打亮肌膚的化妝品時，塗凡士林在想要打亮的部位，營造出自然的光澤。15.衣服上沾染彩妝時，在髒污處塗上凡士林會更好清洗。原來凡士林是這麼神奇的東西，不多買幾罐回家囤積怎麼行，這幾招學起來就能解決生活上的許多小問題了。還不快凡士林的厲害之處分享出去，讓更多人知道吧！,排行列舉
3,這１８位小天使「愛的行動」，說明了孩子從小的教育有多重要！我都要哭了！,很多時候小編看到小孩在公共場合亂跑亂叫，或是對手邊東西做出一些破壞舉動，總是在心裡大翻白眼，偷偷罵著這些小屁孩。不過也有些小孩，不知道是天生就早熟，還是父母從小就灌輸了很好的教育觀念，讓他們的孩子不論是行為或是思想，都有別於一般的小孩。以下１８張照片在網路上引起熱烈的討論，因為這些小孩的溫柔善良，讓人們忍不住讚嘆他們真是小天使。有天早上我兒子走進我的房間，說他想用自己省吃儉用存下來的１２０美元幫助無家可歸的街友。於是我們一起採買、裝袋、發送。這位住在菲律賓的９歲小男孩，每天都會帶著食物上街餵養流浪狗。直到有天他自己蓋了一間狗屋，將這些狗狗們全接回家照顧。接著在不久後，來自各方的捐款讓小男孩有能力跟爸爸一起營救收容所裡將被安樂死的狗狗們。這個才剛學會走路沒多久的小孩，看到這隻兔子雕像很努力的想往上爬，二話不說就前去幫助它。這個小男孩留了２年長髮，期間遭受同儕的恥笑都默不吭聲。直到最後才知道原來是要將頭髮做成假髮，送給一名癌症病童。他的同學們知道了之後都非常慚愧。這個３歲的小女生，有天在路上看見一個女孩子，她問媽媽：「為什麼那個女孩沒有頭髮？」媽媽告訴她，因為她生病了，治療的藥物讓她的頭髮掉光了。於是小女孩就請媽媽幫她剪下頭髮送給那位生病的女生。非常喜歡動物的小女孩，不忍心動物們遭受苦難，於是她賣掉自己的動物娃娃，把這些錢捐給當地的動物保護協會，保護真正的動物。９歲的小女孩看到無家可歸的街友非常不捨，於是在爸爸的教導下，她打造了一間行動木屋要送給街友。爸爸正想兩個孩子怎麼去廁所這麼久，沒想到他進到廁所後看到這幕。這兩個小兄弟以後一定會共患難！自從這家人收留了這隻流浪貓後，小兒子堅持要把自己的棉被送給牠睡，因為他要讓牠知道：「你已經有家了！」媽媽告訴女兒：「貓咪受傷了，要小心地跟牠相處。」女兒說：「那我念故事書給牠聽」爸爸這天早上非常感動：「我從沒要求我那１１歲的小女兒這麼做，但她今天卻幫我準備好了三明治帶去上班！」這天媽媽帶著女兒和狗狗一起到獸醫院，狗狗要來看醫生打針了。女兒緊緊地抱著狗狗：「打針會痛痛，你要勇敢，馬上就好了。如果你乖乖的話，回來就帶你去玩具店哦！」這個小男孩省下自己想買玩具的錢，買了果醬到當地的動物收容所，要讓流浪動物們也有點心吃。女兒摸著受了傷的恐龍，心疼地說要趕快好起來！一對父母帶著他們的兒子到流浪動物收容所，兒子就進去給那區的貓咪念故事書，而貓咪們看起來似乎非常開心。這個小男孩本來就只有一些零用錢，但他一點一點的存下來，最後給收容所的流浪動物們買了飼料和點心。一隻松雞被射殺掉了下來，小男孩抱起牠，非常心疼地撫摸著。這個小女生拍賣自己的東西，將賺得的５００美元拿去採購了一堆文具要送給需要的小朋友們。這些孩子們或許年紀都還非常小，但是他們的所作所為卻是有些大人也無法比及的，讓人看了非常感動。相信只要父母付出時間教育孩子、給予良好的觀念、從小培養善良的心，在未來我們還能看到更多這樣美好的時刻。把這篇文章分享出去，讓朋友們都看看吧！,排行列舉
3,２０個超強聖誕裝飾藝術，你絕對想不到全都隱身在醫院裡！＃1也太可愛了吧！,當我們提到醫院，通常聯想到的可能是悲傷的場合、生病的人們，一點也不會和聖誕節有任何關聯。但是或許就是醫院平常是個哀傷的地方，所以當有節日時當然要大肆的佈置。看完以下２０個超厲害的聖誕節佈置，你會發現原來高手都隱藏在看不見的地方呢！育嬰室裡的寶寶們全都裝進了大尺寸的聖誕襪，他們是「禮物」！做成心電圖的樣子真是太貼切了！用醫護人員的手套也能做出「毛茸茸的」聖誕樹 這樣的血漿袋也太可愛了吧 用驗尿罐也可以變成自製燈泡 每天都站崗的斷手骷顱先生也要一起變可愛 用醫院裡的用具做成花圈 綠色的手套也可以變成聖誕樹 有別於傳統的綠色，鮮豔顏色的花圈也很引人注目 保險套還有別的用途，旁邊還附註，不想得愛滋、懷孕…要記得戴啊！ DNA圖案的樹上裝飾 看上去就像是好幾雙手要擁抱你呢！ 尿罐做成的花圈別有一番風味ＸＤ 小麋鹿當然不能缺席 「包裝著的」保險套也能變成一棵小樹的！ 這樣裝飾病房門，病人心情一定也好大半！ 「千萬別像我一樣受傷啊～！」 歡迎來到心臟科之聖誕外科手術醫師 醫護人員就是我們的小天使 裝飾一棵自製小樹，想必病童們一定會很開心 是不是很難想像穿著白袍、一臉嚴肅的醫護人員也有這麼巧的手藝，其實他們也是一般人，而且也希望可以給死氣沉沉的醫院帶來一些活力。真的太謝謝他們了！把這篇文章分享出去，讓朋友們都看看吧！,排行列舉
3,四類最容易毀掉孩子前途的媽媽，第一條很多人都中了！,常聽人說起：慈母多敗兒，還有幾種媽媽，她們不溺愛孩子，但也很容易教出叛逆的孩子。電子媽媽 所謂電子媽媽就是每天沉迷於電視、手機、電腦等電子產品的媽媽，有點空閒時間，刷個FB上個LINE，再看個綜藝節目，追個電視劇。把時間都用在了這些事情上面，那有時間和孩子做個遊戲，進行一下親子閱讀，走進自然感受一下呢。不僅失去了很多和孩子在一起的時間，也會影響到孩子，比如孩子也沉迷於電子產品，不愛和別人交流等。媽媽們不再是單身少女自由自在了，有些時間少玩點電子產品，多陪陪孩子。苛刻媽媽 有的媽媽總是要把孩子向完美的地步發展，學習要好，還要會很多特長，給孩子報各種興趣班，琴棋書畫、外加武術恨不得樣樣都精通，結果是哪一樣都沒做好。孩子喜歡自由自在，父母在約束孩子的同時也要給予適當的自由，要不然不僅培養不出全能人才，還可能不受自家孩子的喜歡。攀比媽媽 別人家的孩子永遠都是神一樣的存在，有的媽媽也從不說自家孩子不好，但總是表揚別人家的孩子優秀。這種做法不僅會讓孩子反感還會傷害到孩子的自尊心。每個孩子都是獨立存在的個體，要善於發現孩子身上的閃光點，最大的開發出孩子身上的潛力。謙虛媽媽 謙虛媽媽容易壓抑孩子的天性，有時候家裡來個客人，孩子就會比較興奮，愛表演一下自己的「拿手絕活」，有時候太活波了，有時候也不免出差錯，客人誇獎孩子，而媽媽總會「謙虛」的否認，再指責一下孩子就是人來瘋。其實，孩子的自尊心有時候比大人還強，好與壞的界限分的很明確，經常對孩子過度「謙虛」會讓孩子喪失自信心，對此反感也可能會自暴自棄。,排行列舉
3,忍者貓現身！從這２０張照片就能證明喵星人的真正身分，原來牠們一直藏在你我家中...,相信大家都知道喵星人們的個性讓人很難捉摸，行動更是敏捷！但你可能不知道，你家的喵星人其實就是個「忍者」啊！下面將和大家分享20張忍者貓的照片，還看看你家的喵星人是不是也是這樣子吧！1、哼！我藏的這麼好，誰能發現我？2、趁敵人沒有防備的時候下手就對了！3、要適時的勘察一下敵方的狀況。4、我這是在練習新的忍術，絕對不是卡住了！！5、身為忍者，也是得填飽肚子的。6、神不知鬼不覺的悄悄伸手「抓」一把！7、我來看看附近有沒有敵人。8、撞球桌也是絕佳的隱身處！9、你找的我到藏在哪裡嗎？10、哼哼，藏得天衣無縫！11、絕對不會有人察覺得到我就在這裡。12、身為忍者，飛簷走壁只是一塊小蛋糕！13、這堪稱是史上最強的隱身術！14、三忍正伺機而動。15、你看不到我你看不到我...16、嘿呦，看我敏捷的身手！17、我是幽靈忍者貓！18、讓我看看前方有沒有危險。19、身為貓忍者，欺負一下汪星人也是輕而易舉！20、就算你聞的到我的味道，也找不到我！這些忍者貓真的是太可愛了，你們家的喵星人也是忍者貓嗎？分享出去，讓更多人可以看到這些可愛的忍者貓們吧！,排行列舉
3,蘿蔔原來不能和「它們」一起吃，否則有礙身體健康！一定要分享給更多人知道！,蘿蔔是一種相當常見的蔬菜，比起其他蔬菜，算得上是物美價廉，而且營養價值非常高，還有「小人參」的美譽，即便蘿蔔對身體有很多好處，但也有些禁忌不能不知道。蘿蔔性涼味甘，經常食用可以幫助潤肺健胃，同時還可以化痰止咳。如果出現咳嗽或是胃脹氣的現象，生嚼一根蘿蔔，能夠有效緩解不適感，除此之外，蘿蔔還有很多有益的功效。1.養顏美容 蘿蔔不僅根可以吃，葉子也能夠食用。蘿蔔的葉子含有豐富的維生素A和維生素C，尤其是維生素C，更是蘿蔔根含量的4倍，能夠防止皮膚老化，減少斑和黑色素形成，保持肌膚白嫩。不管是蘿蔔的根還是葉子都含有非常豐富的膳食纖維，可以促進腸胃蠕動，幫助體內的毒素排出，改善皮膚粗糙和長痘痘的情況。2.幫助消化 冬天人們會變得不愛運動，缺乏鍛鍊又天氣乾燥的話，身體比較容易燥熱，容易出現便秘和消化不良的症狀。蘿蔔含有豐富的粗纖維，可以促進腸胃蠕動和消化，多吃一點蘿蔔，可以幫助我們預防便祕。3.提高免疫力 蘿蔔富含維生素、礦物質和微量元素，到了冬天抵抗力會變得較差，常食用蘿蔔可以提高人體免疫力，預防感冒。很多人會將蘿蔔和其他食物搭配一起食用，和羊肉、栗子、鯽魚等食物搭配，效果比補藥還要好，不過有些搭配卻會危及健康。1.不能和紅蘿蔔一起吃 胡蘿蔔和蘿蔔雖然是很相似的蔬菜，但是不可以同時食用。蘿蔔的維生素C含量很高，但是和紅蘿蔔一同食用會降低維生素C的含量。紅蘿蔔含有一種抗壞血酸的解酵素，這種物質會破壞蘿蔔中的維生素C，一同食用反而對身體毫無助益。2.不能和酸性水果一起吃 蘿蔔不可以和蘋果、葡萄和橘子等酸性水果一同食用。蘿蔔在食用時會產生一種抗甲狀腺的物質硫氰酸，而水果中的類黃酮在腸道分解後會轉化成另一種物質，這種物質和硫氰酸的作用正好是相剋的。所以吃完蘿蔔，不要立刻吃酸性水果，可能會引起甲狀腺腫大，也會讓我們的腸胃感到不適。3.不能和人參一起吃 有人說蘿蔔的滋補效果不遜人參，但是吃蘿蔔的時候千萬不要和人參一起吃，也不要一起煮湯喝。蘿蔔屬寒性食物，而人參屬熱性藥材，兩者同時吃不會有任何的滋補效果，對我們的腸胃也有不利的影響。最後提醒大家不要食用過量的醃製蘿蔔，蘿蔔乾脆脆的很好吃，可以開胃助消化，蘿蔔乾含有豐富的醣類、蛋白質、胡蘿蔔素和鈣、磷等礦物質，適量食用有助開胃和生津止渴。但是蘿蔔乾在醃製的過程中加入大量的鹽，因此可以保存很長的時間，若在過程中受到細菌汙染，容易生成有害人體的亞硝酸鹽，蘿蔔乾雖好，但吃適量就好，任何食物都一樣。原來蘿蔔不能和紅蘿蔔一起煮，之前一起煮湯想說超營養，結果根本沒效果，長知識了！現在正是蘿蔔盛產的時期，快把這篇文章分享出去，讓更多人看到蘿蔔的營養價值和食用禁忌吧！,排行列舉
3,藝人「阿龐」患淋巴癌，女友提分手，雙重打擊竟讓他決定留下「遺言」！,阿龐，本名龐庸之，最近廣為人知的代表作，是新兵日記義務役下士的痴情班長余善仁，對正妹士官長的「勾勾纏」，至今仍讓小編印象深刻。向來在螢幕前帶給大家歡笑的阿龐，近來接下中天《背包踐客》主持。今天，他出席中天記者會，竟透露自己1年前罹患淋巴癌，讓他一度失去求生意志。那時，他檢查出淋巴癌零至一期，而女友居然向他提分手。他遭受雙重打擊，讓當時的他相當痛苦，「手術完當下有想過遺言，最放不下媽媽和狗，也想過不做演藝圈了」。還好命運對他不算殘忍，他的術後恢復不錯，目前仍定期追蹤檢查。藝人雖然光鮮亮麗，但工作勞累，作息不正常，健康也容易受影響。希望阿龐好好療養身體，不要太過辛勞，以免粉絲心疼，家人難受。畢竟若沒了健康，就什麼都沒有了。,排行列舉
3,看了NBA歷史得分王頭銜數排行榜，你就知道為什麼喬丹是神了！,很多NBA球星都曾經獲得過NBA歷史得分王頭銜，但是要比起數量來，得到兩個的就可以排到前20了！那麼都有哪些牛人曾經獲得很多次得分王頭銜呢？邁克爾喬丹獲得了恐怖的10次，還有頂峰期間曾經退役了兩年！上古巨獸張伯倫拿下了7次得分王頭銜，還有他那沒法打破的100分單場紀錄！阿杜竟然這麼年輕就已經拿到了4次得分王頭銜，不知道還能不能更進一步呢？艾弗森也拿到了4次得分王頭銜，已經足夠的偉大！冰人格文也拿下過4次的得分王頭銜！朱利葉斯歐文也拿下過3次的得分王頭銜！湖人名宿麥卡度也曾經拿下了3次得分王頭銜！NBA第一個明星球員喬治麥肯也拿下過3個得分王頭銜！奈伊爾約翰斯頓你可曾聽說過，他也拿下過3次得分王頭銜！科比生涯拿下過2次得分王頭銜＋81分歷史第二的單場得分！奧尼爾也與科比一樣，拿下了2次得分王頭銜！,排行列舉
